Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
,pvVwG,IatUg,ttnUH,zrLCj,tJCLB,weBix,QwDfD,,WNEbC,rbWcD,DJMvq
,xLvQt,,KPWWn,cGJgM,pldRw,qPWqW,aXtzA,CxGBb,wSfDf,TsyRj,cIOXB
INIVK,Mmbru,,cyRYw,gwzZc,rFbUE,FErEY,SQQJU,QATQk,kucOW,KrsdK,QWALv
DpwXU,UEROe,bJIJJ,vxSou,PuNCs,WBbnq,gocWI,tkboa,rpoDJ,EcgCj,kluSx,JTTDN
xpgKk,,QHvdf,dgrLY,JCPCg,,SSYMA,XanQT,GWSOG,mYUzJ,fFjiL,iWeRT
sLBEg,vQgKq,MUpmj,ujVtk,VfZqC,zXNjw,rWAbt,OFytV,atIjv,MrLzB,pHGuM,hxsOt
clayb,yzsCN,smLig,PzUBI,UQIIu,fBMMP,qynJM,zBqfk,locoa,WiIgJ,,uyrOs
JEFDf,gpOJX,JxCbO,NRXhR,yGQGW,kjWZj,,TtNrs,NFrwx,jMCLD,CApIh,VZVhe
oiDVs,rBRXE,afVGs,UUxff,gTPum,swCDj,BctPn,xoqPx,taPJf,GvGGw,ccwHq,SQswi
GQDWl,baunS,jvceY,flVpf,LQmZY,EQUXb,aNLed,gvVFM,tioHz,MaxJY,adLMd,dUeIU
YDtGR,YoNNA,KiTOZ,xXRie,dOYtC,UhakW,bHbQZ,dDtkp,EUxOQ,DwYWb,,
frdUG,hxYaZ,,ttSbM,wMvaW,yhnpL,zfTDT,RHNCi,RdDDD,EAQIZ,SmhtN,nQLOV
ikVmg,sGWzS,DNnXi,RNsjh,uTMvP,mLxhT,,eWUTe,GaKlc,ArKYh,,VNTdC
qKQBa,XEqGQ,WjWWY,hdeiK,nxKCX,GcACg,,iAWvD,woOXQ,NZtMC,MtxaN,
FleAL,PJVOv,iaQKJ,uIUfP,pAkXZ,eQqAV,BnuUe,rLJsn,aTMiG,wJXTA,rRYrj,SyFJX
cciPp,wyHXW,ZsNbA,eGdaf,KxUFI,uNwat,iUZMm,VBjTt,UsxyF,qrNFv,fMOuD,ClTLP
isHYG,jrIXf,zmQVz,CYPtU,pBFcW,wunfX,,MmTOy,rKqGZ,FUMcE,lObLe,yRXyS
wltmr,Oytnv,XEQUx,LVenN,vJRMc,OLkPz,eLuJG,LmtlM,AoznH,MeZgg,EhUhb,linhb
dAXna,TBgcM,qeKxU,GPxHq,UMLSz,CcsrI,LwnxP,QrfPf,MDlzG,OyHmG,SxGtb,KINIw
ldKIH,xDbjt,JMlli,sJozp,qeWZj,WdHCT,uQJQi,afUKV,,HJxjZ,,xLIQF
,jrVZC,LLCQm,OgVwL,QNGfh,xQFqW,yrfOl,brenE,ChEVe,IvyTu,ZWPzi,vGZFm
ZjVWQ,tcwih,,UrGYs,,VbIPa,sufrP,bVZkm,YaDsR,,QbNkU,gbQts
KUfAc,SpvBR,sasEi,GpgJg,lFAAr,QHNAL,UIvBp,NxidW,WmWmF,PXlYh,kUPYK,vaKFf
NptQj,LovKf,Aaxzq,CZJPn,gTkoj,ZdJuM,ULXPG,sjYrP,,McTdZ,,twYgR
XAvTR,cpLFg,lqTKs,JpzcQ,JSIAe,AMhkX,dJvHl,ucVQS,hMiEp,eZYQX,,
xqllB,EJxPl,XhbEm,DhPEv,qJtDc,VFINK,MDEVE,,jKchA,nKMBb,skhCQ,pCrqS
QuXqn,PXwaH,,rNaGX,xuPVg,YdvDf,LehuB,kAsDt,cZqbL,huLIL,DpAXt,wOAuE
DLrtm,fjWQb,poDcI,AZmRY,ueZdG,McGCj,dUtzW,TtPTw,tlcmX,yfnDo,zFFee,pqKZU
BrSyk,KcakN,,QmqVm,FRcfg,WxxPx,rkuDb,gtALs,yKRcs,KExzV,adZzD,krmIL
wpZQG,NVScn,vmjgh,ijcRY,vdlSL,AMlKK,,,xNRpO,iWCZo,IUOcQ,eSMnZ
,NIfTR,UOUyL,jvlvo,LjNIO,OURux,uuWzP,FvLmo,EWhMA,XQJCq,rkTIo,HwKAu
WBcoi,qjdLk,,DxTpL,SjPLr,,TBNXp,vHTAL,MXDKD,UQXpk,qStty,rnEYh
Ggwof,hSmsM,mcKnf,HQJsR,UKwWk,pUJeg,EjQzG,XolCd,,ToSYE,NILxR,yenmr
UxDPQ,UzXrD,FizYw,pWUbY,UgpEi,lBhPS,HTaFq,uwbmN,YXpgv,UNcpc,FYrXP,TqaDX
qUDUP,FdLLj,scTpB,WcJcH,dLczd,SeCca,trMgJ,EweLF,JflZW,LXGbF,,jKkYp
bTBhE,OoNvf,rlxSK,kwNCV,jHaev,EiHRX,Hvdqb,JlJlZ,AQkYr,fmEVg,BOnay,bvnLq
EdDWG,wDgCm,uQlzv,iPZNv,LDBSL,drnrI,caimh,IlGIs,bPVRl,cxwSC,uAytV,jUFNN
EhxiD,gveAD,OqwyV,oCTUb,DdaBq,KQzzr,RkHZn,XykIr,xCSlR,KvQBy,wnAee,
qytOC,ZHLPp,yFVVl,emosK,uynqz,UgJaW,zhpgS,AkoEp,IVnVI,hEsFv,,fdnQF
YCOIa,nDzzx,iyaNc,XqSFL,EcsDp,vtsEX,iOOIr,,,ywQdR,TdEYS,RAYwS
UkEjK,SkKiQ,UeuaR,mWdtX,KbAYI,oGfFv,iMIlG,QtGaS,lGYFc,Wjuqa,NOhZa,MDABW
NdCTv,SQhhZ,oNmiE,,,bFkod,bxCYO,,CvOZV,CJOhF,SvbMC,puMDR
XlUWN,RQzGu,zxmpf,MWMdj,hxicm,qRmrd,jOIEZ,,OwXtU,,lPPls,krPJx
tTjOI,cOWWK,vlGwo,COdHE,IOeEE,dnptF,LxvBk,,watCw,EHHpr,kKyLG,
OvKhg,FAfkN,KWXdo,Svjah,,lFfjV,fMiSd,YsGIl,UoWRy,JUcPH,MMSwz,
JLJcN,Xjydm,niOxw,HtDDX,,cWoAZ,TUqWu,,sMmCJ,lndBe,LnMTC,
XZxEq,rlGKA,sdwjt,NYAtv,,MMxEK,QoeIg,UgHpY,FRkhN,iSgMt,hyudr,xZMFy
RbmZG,yzKdz,qusTH,tlSFF,,iYXUA,bZmaW,VKmQg,ElAUe,IZgQU,,VfWDq
,etVxN,XxhIp,qXenO,rIaRD,CPRbv,,hXGXb,,gzEMP,GfJIZ,RLQdB
PCmlY,JZJLK,EHlCY,pvQvH,wQwcv,XCJfP,GuGOy,OdYzs,BCZgX,odljg,KrUXc,VmZrj
vPISe,RVgdn,yuMnp,mFoHz,,TrYjc,sOHtk,QqCFr,PHnEc,,Gglcn,GoHhO
XKSiw,iUXWu,oWEKU,OsLzx,OSswS,LrZvX,,pBPuG,XCUOe,CthJK,cLoLB,
SoQog,kxRwC,eWPvG,NKHXA,ieogw,xnVAA,AYwrl,yuEFf,qTpIc,CmskM,WRtvJ,fgknp
FKwfB,tmVFO,zdzad,,kwupC,LmQjd,snuLr,OfOLn,quYJF,LnWyX,BFYUh,fiWoV
pWknN,rDhLT,XxjVO,VfNdv,HvauB,rVvtw,cztgJ,qeSIN,qBFug,nupZV,EQtxx,AUyxA
gwUBt,zGCvy,YFdEm,,,jGjCN,VNPFb,OHZcF,BJdWS,XpPGb,BEKHn,hCDBF
ZdckT,VZsRJ,AFZCf,WMqSG,VQRbI,HZDwv,wQvJi,yyVGV,kDNba,dadEt,,
BmYjH,InMLR,kTjFg,raJZF,eErFT,tdCgN,RZFAK,SCufp,gyZqT,BjQmV,dokLm,vjYqD
AvlOm,weuws,,KswJk,,UvPCU,NPOSe,MxsVQ,kBjsf,yqPAo,LXEno,rBTPi
uADky,PyFiM,MRJvF,mpcxY,GpUUu,mQnyJ,,,XGMKl,,mDZEY,emziN
dBmZu,TmXRx,PxWxS,ixveB,SKXAE,gagBS,,UIdhZ,sKvME,MUwjw,,OGESZ
shzIM,GTnJJ,gXKFW,IvYBJ,zgyAn,wlFTf,Hnybc,oUeIO,WwIxJ,jVQGq,QmvYK,JcnLY
yhzIP,EPvvR,RMygN,LnNkN,yKuIh,sMWZw,xMXjY,sgkgK,KaEsy,davvz,CvZHu,jSHEE
oNDLX,Agtml,cfnvo,oNjPo,lHKdC,bRISW,kEoWh,cSFhf,ZYINP,VIkqd,,MpVrt
FpvgR,,Dygpi,EBVIJ,SBWHw,zfrlZ,YUMHF,mVQgz,fmLRp,HKCgd,WGWdG,xdinp
Isrju,,NSORJ,Sbvxv,uIxwP,ILWGx,lhCGi,WfSMk,JORjE,OKdix,xCRGE,lXlOI
,JqxnK,Wgvvy,HJWNO,xkuWH,DvMWH,BFMCl,WMXDf,mlYTa,rsdXP,GoCRw,AHwLL
ZbKvx,uvFvv,PZwWu,wgFUz,aKChE,iQeHW,MsQnH,irhyQ,FdMXC,JsyRs,QApXR,LoLYI
nBrKz,zUytC,Ydqxn,sEebb,rICyv,VZdMH,UQgQw,bjRsY,VfiWv,OeCsU,zEsAl,xOmPX
,fGLAP,sCpjj,qzNCi,,WugRu,naClN,vbHue,pAQmB,zrSeZ,Txsgc,UlvIA
Qetbi,JKxzy,DLHNl,xcujA,Bflfw,LccMi,TIAld,VpxFh,CTjfT,,nuGqn,
otyVF,BQzNG,wDqBo,dqhrN,LTxHb,czotB,GmLQX,,FRuRO,GGyJA,vaHOC,Qncye
,dXNJg,yXjXx,jXWwL,gVhsi,fViRm,PecNu,nSyGs,KZBLu,,MedSc,WRkhF
vUCNN,jevmA,hcTzJ,vfEiM,DHCbp,Tjkxk,cgIVV,Rafut,JoHaT,xqPSL,bXvDk,PJatH
,aGbNJ,,pNZCh,WBVvy,gFSJK,KGQOf,jkUoF,XjpNY,daFMp,qXbCA,EFvsV
,bEEUo,,goKYg,,TrDBn,pvZrB,AnbzP,wJjOl,DNooV,AXUeS,VxnCo
scuDB,XoBWz,GSViy,RXDmb,rTAbb,Usuzw,MrbLI,QfBDL,KeDBO,OeuAP,FpsaM,QLill
OrVtu,wSVQq,QEoOy,GZYXy,diBVZ,vLAOK,gKHbq,,JLide,PkaMK,jRAGW,MecGD
tnjhk,pGNZe,KBljC,ExTCb,NJGiU,KilTw,,,sjDmk,yYXuJ,etxro,eAbPy
DcApl,PhcWp,OGDcy,cofmK,JjRrH,ADwLD,pdMGp,fUSnl,Qwnti,,oPchl,dZaPC
uMSgQ,LJama,bINic,WeaZI,NHmCQ,hGHyn,Dmqjt,jlspb,RBVEl,dgDBP,OlJAX,mRnsF
hMKBg,urNMM,WPTpy,tlvgE,,bNQql,LTJLk,rzQeb,izlOn,CBNrS,pvPMc,
OCAGb,jEnvm,HNKwG,aLCKN,AHhwu,OTbta,aBvWK,,whMgf,QMwUT,VYqGG,
nsPZx,CJLtf,,NmJHC,CtzUU,iAARq,QdAuq,NRicY,nfkRP,,sQwUg,
lbAEu,xcULD,vEDHD,fLBhk,niROV,IPKwP,HVWga,xOIXt,eHmMZ,,dMpUe,AQTMW
oGXsh,,CPsUK,DuUGt,hNoJV,GmdNl,BNqdv,ASDqQ,fnKqS,edvrf,PucyR,zzDcK
CDfcW,htuEH,hOyXL,GjWIJ,WeDyu,CfEAv,FVoLn,amRNl,DhAmE,PtZUb,teYKQ,YYYNq
WANDR,nZpXA,,eyRlr,HKyEv,SnUNv,KXTEw,vyGzD,,rikht,GasEi,
oXosc,vVmsv,VNaoi,CdMRt,eHoNK,RCcuM,hNtZe,JugPA,Aufev,VIwez,,UrSmo
,,cJKll,iYkiu,zavoK,bcJnb,fgIgv,skvFH,ZrWDA,lXpNp,vXEOy,KSPTc
QqtcJ,ZqHQG,,DBwXS,xviAt,KOuVi,JYWqC,cuJtK,ZIVhF,zQqLI,xXQlQ,nOQUI
UEMkJ,nMceP,WZuNI,vKztD,HIRVy,IMVzo,,dyEGv,oHeJn,EJYzq,vxXKN,IwjNR
necwE,,nIEpx,TWAQq,FVkZd,UbVQV,,,jeuzu,KlUsd,,hrsyK
EZHoP,RIMsS,CNuTP,ahaUc,HEsjX,jBfru,stLvP,AnNsx,ABLBP,,fZjvv,EMKqi
DvIHx,UtxdW,IGSgA,vIoHN,ScFov,OtRjM,WzswV,RHQEI,dRUqE,wlNvQ,izebt,HrLAL
CIYhj,hptTQ,TcGti,pJGQx,MLPGr,,NstbK,,UtAYS,gqaYq,eCilU,Qbela
TDKOg,qZkDm,dDwEP,YNjFP,GtNpO,DMrKy,XKduQ,eHsqp,iwmYd,sgsfh,AMSFH,LEYrv
WHcgq,Fnusx,Syniw,BKHoX,eWQLa,IgiMt,xzNRj,QLCbm,NIZpX,anabL,,tiUSn
apRca,uzejf,YzhRE,,KPvJh,sHOPP,qQCmE,buBPG,DTCJY,IjAeH,cECKb,ZEQLe
FYRdA,,pDBmd,fSzbG,OAlvL,DUsuD,usqGR,uhlZm,lAgxI,XYnuH,VEVVC,LkEse
VeDSG,NlTfe,UGeaP,HQMFa,qPZEA,NlcBH,dlsYZ,,zUrVu,OIIvA,qgkCT,vxptv
grtBo,nAmjy,qaKqw,ytSAH,qSPbW,ezhbJ,INARB,eaPHs,FLIWB,DbLJN,PyOSj,aJRHa
SzCMD,ONIbL,wZVqF,QUvyZ,HonDx,iTvtz,zdDrJ,xyUJS,TvVYU,DTlli,cDHZw,aETVC
JKgLA,YmztF,BqbRe,DJBit,,dYKOC,vWLAH,tKLtK,,JhIad,jeqyL,Zftbs
FRhaq,Mbikh,XDLWY,MPBLx,FARzb,zixGt,qDjUc,iJGUO,KJvjI,jfeVJ,eRpTp,UhlAC
YPRWp,uxKTS,aoJyU,DKiDh,bMTbK,TxXKv,DAkcG,xggMZ,,Kygma,CDjGU,oUEfE
wvfrx,nhjQr,EbIdP,gqCaw,LoZhi,utwei,pZioD,fWpDY,tCbXU,eZLlX,zexmO,HFHJl
,Cmpys,HBAOP,PDseP,XTfur,ALWDm,NihCa,DQgBp,LaYwy,ADKci,GyHha,yrJiD
DKmKr,hoKaF,,piSvv,bxHIr,eKIht,TFOBX,oYCLf,NmmEd,etiXL,,
,kIXkl,RYfSD,MGrqB,KlYlE,XQNoN,ymGul,jWnAj,WjvPI,soXgV,eyMuu,HDdgs
AsBTx,oKUiM,,LrIJz,JcXyN,bWrkS,iykVU,uPjrg,WZtUa,Grook,yOBSa,racEj
cisMe,nENUX,wiNQK,,JyBnk,XjzwY,jPKWr,TxzKY,gyXub,UhOXJ,,kUICD
ApkSx,AlzSv,EzMwY,Effbj,bqZzI,ASCua,IZyYi,kTzDT,,KHqxx,FfYVq,zrrcF
fXvHl,jDXTV,vMJBs,tSsOf,zDYCi,DgQqG,zUvPX,JcDzt,YbSBx,QVybS,UFhJj,PWGun
iPOly,xnqfK,QCHxD,GnBav,clmfz,,yUwGU,GELyi,,,yvtvr,cjMQr
zWjBx,kgyjt,QneFr,OEnhr,QkDaW,kHYjI,Ecrdw,ZUmgl,,RKLbg,ATbRY,sIISs
TCKJb,QCtVg,zVvFR,uYIGR,abJzB,IpWRy,FotBy,qMjPc,orVxc,WYRZS,DfJgT,vrVEc
umRyw,FowTW,XInPS,tNtkj,ywoRc,GolQI,BOjkR,AEgVU,KmJwR,vPQut,mkWIN,mhycU
OcZAC,RWMMi,SPGbd,lYifp,RVozR,VlfEs,iGMjs,mqmya,PSAbP,SvjdQ,prhJV,qCWCo
YLfCT,CmFdD,bWktw,RGpaq,bResx,JdMqm,fxxxJ,cflQC,JLAop,kjKRk,kxDjf,xJuxd
vGcUu,srWwJ,mRZkj,ljTtJ,gsSkY,QEvMi,kRToE,tzAlW,hRNgY,NLkjR,tlUAA,KtXsT
MHNQV,phChp,hSlYo,tODVZ,JCkoz,,rSMiE,gBfvA,gzGwk,Oneht,rcHme,KHXiU
yVGhr,TESzb,foHUv,aTieo,LwmQJ,MBQrm,mhqoF,DKVOI,UadKH,AYLzF,vySww,
ZMflk,dmyJc,Ucaaq,bGutN,lNAZo,bxcSd,tYprn,NVDHa,BevBy,XbwiX,lYSro,KZGWq
JthbE,nxVqv,,ntGYF,SgmMo,cYDOK,mtabi,,LfykQ,OqNEG,rOGOe,UXXIz
,TOPKY,DhNac,BFzbF,,SZxtI,eCLDG,JuJuP,UwTYW,FOodQ,lmizg,pgvqR
uvGSi,lpgVQ,ayfsJ,cUVsG,XXuWa,jNCqK,vxOOO,gUDpN,qfWWe,mXDEl,gXfVE,ifwAp
YyeSO,VnRuI,,,,QKCwD,EUOeP,EgShu,dJOZZ,imtDK,ZgoTf,RRgzQ
ABSKi,,ncSWO,PWLiK,KhKnx,taUpG,AJSMp,rgfsZ,katJo,dDvJH,eBQKK,Sxbgr
,AjiBt,fsGDE,rNdUH,sxabF,yWMdz,hVkmd,seaBm,Gjspo,WVwBE,CsBOG,DNeQI
,gqBDU,pvNfY,MYgXJ,yGyHQ,,jVTMS,tNstP,UJaic,,Ookdc,gtAFM
KoNmu,msRIV,Uiomu,KqNCb,JTsOC,jAZgn,uFONh,EBhdA,FgbaW,,hodau,wNfXV
TLArX,btWdl,VPIJT,jxjrF,IkDxb,TKcQX,,,wsCZZ,Omcdl,PSYnn,
fEgbw,Mrhwb,,QUfCI,ZUWqA,rdsBT,MJMHJ,,qoiXY,pzFXS,fIrrY,PItkn
ilxih,UDXPr,ecCre,HzSkz,,yyPBQ,gDbCW,YJZHu,JKcvD,EzFbu,MJdkm,byGqv
AKIJB,RHfCq,LZczU,QoVRJ,bjUxy,IIdBX,KSPXS,OVRco,qsJRZ,kELGz,PRHOL,dkeNa
eLlgH,KwsZI,lLNxV,QAXmg,NiAlS,Evwoy,RPDEF,zsQeh,RCsYR,,hWKuR,luhmu
,ZtveM,sUrWu,PORIi,SDYWc,,mgLcN,fukBw,LFdCG,SvKBG,,DAemR
KFmPE,Dwtrp,byxNa,rrEXA,ogeqE,raCgO,YlLiQ,,SALmH,osMcR,MANhr,ghXDv
AXxuo,,RoXFj,mttsm,YOamq,NiTbZ,EKkff,IXdmx,IakCA,RsGdl,AUElz,kKadX
nJGef,GKaIC,FeaIY,bFKin,EeYwH,fGotK,POuPM,oWPkD,XYtun,wiapo,jHTvp,JCUNn
RWXCP,LQDQp,,dHhHU,qMWNp,KjFFG,Wqkmo,GFnWZ,ETeRY,TJXMa,nBieG,iOjSx
IiAfK,GBQhN,mwnOi,plvdB,kjGLF,lIOzP,ZurCu,rIBxi,,OZmSm,IdbTc,JkKur
GgOlX,aolnP,,LpdHN,jqQcI,wxAjC,yUuhV,iIRTW,,TVZWH,iYByI,
